"Genome ID","Genome Name","Version","PBP1a","PBP2b","PBP2x","amx","amxMic","croMeningitis","croMic","croNonMeningitis","ctxMeningitis","ctxMic","ctxNonMeningitis","cxm","cxmMic","mem","memMic","penMeningitis","penMic","penNonMeningitis"
"64d3c1cf177ad4008e5ab153","AYCs054","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad401795ab174","AYCs090","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad404ff5ab13e","AYCs025","v0.0.1","15","NF","18","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad406565ab138","AYCs019","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad40a465ab16d","AYCs083","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad40e375ab163","AYCs073","v0.0.1","NEW","2","2","S","= 0.06","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad40f365ab142","AYCs029","v0.0.1","23","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad411085ab150","AYCs049","v0.0.1","NEW","0","NEW","S","= 0.12","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","= 0.12","R","= 0.12","S"
"64d3c1cf177ad412105ab12d","AYCs008","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad418775ab128","AYCs003","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad41ae95ab162","AYCs072","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad41f2b5ab165","AYCs075","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4217e5ab126","AYCs001","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad424335ab157","AYCs060","v0.0.1","NF","2","NF","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad425795ab140","AYCs027","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad426655ab137","AYCs018","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad427075ab15a","AYCs063","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad428d25ab15b","AYCs065","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4292d5ab13d","AYCs024","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad42f2c5ab16a","AYCs080","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad42f8e5ab133","AYCs014","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad432535ab155","AYCs056","v0.0.1","2","0","3","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad433305ab129","AYCs004","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad434615ab15c","AYCs066","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad438065ab154","AYCs055","v0.0.1","NF","0","NEW","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad43b6f5ab127","AYCs002","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad43e945ab151","AYCs050","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad441395ab152","AYCs053","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad441685ab143","AYCs030","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4462a5ab169","AYCs079","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad449b85ab12c","AYCs007","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4526f5ab130","AYCs011","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad453025ab12e","AYCs009","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad454c45ab134","AYCs015","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad454cc5ab175","AYCs091","v0.0.1","NF","2","2","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad455055ab173","AYCs089","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad455ff5ab136","AYCs017","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad459e05ab144","AYCs031","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad45a705ab170","AYCs086","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad45deb5ab16c","AYCs082","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad463a25ab132","AYCs013","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad467d95ab14d","AYCs045","v0.0.1","2","0","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad468505ab149","AYCs037","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad469235ab16b","AYCs081","v0.0.1","1","2","114","S","= 0.12","S","<= 0.5","S","S","= 0.25","S","I","= 1","S","= 0.12","R","= 0.25","S"
"64d3c1cf177ad46a615ab13c","AYCs023","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad46e1e5ab158","AYCs061","v0.0.1","23","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad46e9c5ab156","AYCs057","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad46f785ab135","AYCs016","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad471b55ab131","AYCs012","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad471c95ab166","AYCs076","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad473b65ab148","AYCs036","v0.0.1","3","0","NEW","S","<= 0.03","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad477185ab139","AYCs020","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4779d5ab172","AYCs088","v0.0.1","1","2","NEW","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad47ad85ab159","AYCs062","v0.0.1","23","2","21","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad485835ab167","AYCs077","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad487005ab161","AYCs071","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad48aec5ab12f","AYCs010","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad48fa05ab15f","AYCs069","v0.0.1","1","NF","2","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad495b85ab177","AYCs093","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad498495ab12b","AYCs006","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4a5395ab178","AYCs094","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4a5eb5ab14b","AYCs041","v0.0.1","15","0","NEW","S","= 0.25","S","<= 0.5","S","S","= 0.12","S","R","= 2","S","= 0.12","R","= 0.12","S"
"64d3c1cf177ad4ac515ab145","AYCs033","v0.0.1","2","0","3","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4ae6b5ab13f","AYCs026","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4b28d5ab14c","AYCs042","v0.0.1","15","0","NEW","S","= 0.25","S","<= 0.5","S","S","= 0.12","S","R","= 2","S","= 0.12","R","= 0.12","S"
"64d3c1cf177ad4b3355ab147","AYCs035","v0.0.1","2","0","5","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4b4165ab146","AYCs034","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4bea05ab13a","AYCs021","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4c35e5ab13b","AYCs022","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4c6d65ab179","AYCs095","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4c8955ab16e","AYCs084","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4ca9c5ab14e","AYCs047","v0.0.1","2","0","0","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4cd885ab171","AYCs087","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4d1ff5ab176","AYCs092","v0.0.1","2","0","NF","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad4da2e5ab12a","AYCs005","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4dad25ab168","AYCs078","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4db1c5ab16f","AYCs085","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4dddc5ab14a","AYCs038","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4e2dd5ab164","AYCs074","v0.0.1","NF","6","NF","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad4e53d5ab15e","AYCs068","v0.0.1","3","2","5","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4f74c5ab15d","AYCs067","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4f9bc5ab160","AYCs070","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4fd2d5ab14f","AYCs048","v0.0.1","2","0","NEW","S","<= 0.03","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4ffed5ab141","AYCs028","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
