"sample.id"	"serotype.pcr"	"sample.name.full"	"sample.type"	"sequencing.run"	"sample.sequenced.clones"	"serotype.switched.strain"	"serotype.parental.strain"	"serotype.genome"	"gpsc.lineage"	"aguA"	"clpE"	"cmk"	"csbB"	"cysS~~~cysS_1"	"dapH_1"	"dapH_2~~~cysE"	"dnaA"	"gltX"	"group_119"	"group_120"	"group_1213"	"group_1256"	"group_1257"	"group_1321"	"group_1323"	"group_135"	"group_1351"	"group_1392"	"group_1393"	"group_1400"	"group_1466"	"group_1484"	"group_1491"	"group_1494"	"group_1512"	"group_1517"	"group_1522"	"group_1541"	"group_1593"	"group_1668"	"group_182"	"group_1821"	"group_1876"	"group_1877"	"group_1885"	"group_1888"	"group_189"	"group_1890"	"group_1902"	"group_192"	"group_1941"	"group_196"	"group_2171"	"group_2202"	"group_2273"	"group_2274"	"group_2275"	"group_2276"	"group_248"	"group_257"	"group_28"	"group_31"	"group_313"	"group_331"	"group_339"	"group_363"	"group_369"	"group_383"	"group_389"	"group_422"	"group_463"	"group_499"	"group_500"	"group_501"	"group_524"	"group_542"	"group_545"	"group_556"	"group_63"	"group_632"	"group_636"	"group_660"	"group_662"	"group_666"	"group_677"	"group_697"	"group_703"	"group_704"	"group_717"	"group_74"	"group_743"	"group_778"	"group_782"	"group_811"	"group_812"	"group_819"	"group_820"	"group_821"	"group_85"	"group_850"	"group_851"	"group_860"	"group_861"	"group_863"	"group_873"	"group_874"	"group_878"	"group_879"	"group_93"	"group_983"	"insK"	"lmrA~~~lmrA_2~~~lmrA_1"	"lrp"	"lspA"	"lytA_1~~~lytA_3"	"mobA"	"mrnC"	"murR~~~ybbH_2"	"mutM"	"nspC"	"pgi"	"pnp~~~pnp_2~~~pnp_1"	"rhaR"	"rluD_1"	"rplA"	"rplA_2~~~rplA"	"rpsD"	"saeR"	"saeS"	"sarA_2~~~sarA_3"	"thrC"	"ybbH_2"	"yidA_2"	"yodJ"
"2662275_C5"	"22F::12F Clone #1"	"22F::12F Clone #1"	"Capsule switch"	"2"	"22F::12F"	"12F"	"22F"	"12F"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
"2662276_D5"	"22F::11A Clone #1"	"22F::11A Clone #1"	"Capsule switch"	"2"	"22F::11A"	"11A"	"22F"	"11A"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
"2662278_F5"	"22F::8 (Clone #1) (1.1)"	"22F::8 (Clone #1) (1.1)"	"Capsule switch"	"2"	"22F::8"	"8"	"22F"	"08"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"2662279_G5"	"22F::3 (Clone #9)"	"22F::3 (Clone #9)"	"Capsule switch"	"2"	"22F::3"	"3"	"22F"	"03"	"GPSC19"	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0
"2662283_C6"	"22F::24F (Clone #1) (1.2)"	"22F::24F (Clone #1) (1.2)"	"Capsule switch"	"2"	"22F::24F"	"24F"	"22F"	"serogroup 24"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"2662284_D6"	"22F::24F (Clone #1) (1.1)"	"22F::24F (Clone #1) (1.1)"	"Capsule switch"	"2"	"22F::24F"	"24F"	"22F"	"serogroup 24"	"GPSC19"	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1
"2662285_E6"	"22F::22F (Clone #1)"	"22F::22F (Clone #1)"	"Capsule switch"	"2"	"22F::22F"	"22F"	"22F"	"22F"	"GPSC19"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"2662287_G6"	"22F::16F (Clone #1) (1.1)"	"22F::16F (Clone #1) (1.1)"	"Capsule switch"	"2"	"22F::16F"	"16F"	"22F"	"16F"	"GPSC19"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"2662288_H6"	"22F::15BC (Clone #1) (1.2)"	"22F::15B/C (Clone #1) (1.2)"	"Capsule switch"	"2"	"22F::15BC"	"15BC"	"22F"	"15B"	"GPSC19"	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1
"2683486_26"	"22F::14 Clone #1 (1.1)"	"22F::14 Clone #1 (1.1)"	"Capsule switch"	"3"	"22F::14"	"14"	"22F"	"14"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"2683487_27"	"22F::18C Clone #2"	"22F::18C Clone #2"	"Capsule switch"	"3"	"22F::18C"	"18C"	"22F"	"18C"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"2683488_28"	"22F::19A Clone #2"	"22F::19A Clone #2"	"Capsule switch"	"3"	"22F::19A"	"19A"	"22F"	"19A"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
"AYCs061"	"22F::5 Clone #1"	"22F::5 Clone #1"	"Capsule switch"	"1"	"22F::5"	"5"	"22F"	"05"	"GPSC19"	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
"AYCs084"	"22F::23A Clone #1"	"22F::23A Clone #1"	"Capsule switch"	"1"	"22F::23A"	"23A"	"22F"	"23A"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
"SP_307"	"22F::24F"	"22F::24F"	"Capsule switch"	"Perniciaro"	"22F::24F"	"24F"	"22F"	"serogroup 24"	"GPSC19"	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
